得意先,県,期,我社販売量
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,宮城県,72期,208
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,宮城県,73期,39
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,熊本県,71期,114.4
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,熊本県,72期,12.9
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,群馬県,71期,117.2
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,群馬県,72期,91
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,佐賀県,71期,94.46
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,三重県,71期,657.6
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,三重県,72期,403
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,三重県,73期,277
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,山形県,71期,39
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,山形県,72期,13
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,山形県,73期,13
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,滋賀県,71期,40
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,秋田県,71期,260.6
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,秋田県,72期,182
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,秋田県,73期,26
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,新潟県,71期,212.92
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,新潟県,72期,312.4
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,新潟県,73期,20.06
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,静岡県,71期,90.72
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,静岡県,72期,23.88
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,静岡県,73期,37
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,石川県,71期,80.98
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,石川県,72期,65
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,石川県,73期,13
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,千葉県,71期,220
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,千葉県,72期,37
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,千葉県,73期,180
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,大分県,71期,104.18
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,長崎県,71期,58
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,長崎県,72期,12
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,栃木県,71期,801.015
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,栃木県,72期,683
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,栃木県,73期,78
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,富山県,71期,41.8
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,富山県,72期,51
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,福井県,71期,24
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,福島県,71期,91.2
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,福島県,72期,302.35
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,福島県,73期,39
三井物産ｱｸﾞﾛ ﾘﾃｰﾙ室,北海道,71期,233
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,愛知県,71期,5
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,愛媛県,71期,6.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,愛媛県,72期,3.92
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,愛媛県,73期,2.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,茨城県,71期,2140.717
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,茨城県,72期,1575.157
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,茨城県,73期,780.51
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,岩手県,71期,336.34
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,岩手県,72期,267.475
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,岩手県,73期,126.245
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,宮崎県,71期,46.4
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,宮崎県,72期,23.295
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,宮崎県,73期,8.8
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,宮城県,71期,38
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,宮城県,72期,43.5
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,宮城県,73期,26.35
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,京都府,71期,0.6
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,熊本県,71期,47.965
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,熊本県,72期,31.351
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,熊本県,73期,23.411
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,群馬県,71期,1290.56
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,群馬県,72期,889.696
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,群馬県,73期,762.882
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,広島県,71期,0.8
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,広島県,72期,0.66
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,香川県,71期,2.4
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,香川県,72期,1.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,高知県,72期,2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,佐賀県,71期,24.43
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,佐賀県,72期,1.52
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,佐賀県,73期,4.65
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,埼玉県,71期,21
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,埼玉県,72期,18.6
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,埼玉県,73期,49.3
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,三重県,71期,1.92
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,三重県,72期,1.16
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山形県,71期,647.94
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山形県,72期,315.651
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山形県,73期,222.184
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山口県,71期,0.04
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山口県,72期,0.04
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山口県,73期,0.1
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山梨県,71期,57.35
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山梨県,72期,43.07
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,山梨県,73期,40.113
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,鹿児島県,71期,26.6
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,鹿児島県,72期,33.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,鹿児島県,73期,0.18
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,秋田県,71期,433.835
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,秋田県,72期,426.92
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,秋田県,73期,146.525
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,新潟県,71期,457.695
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,新潟県,72期,295.345
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,新潟県,73期,175.79
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,神奈川県,72期,0.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,青森県,71期,2553.348
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,青森県,72期,2091.02
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,青森県,73期,1211.243
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,静岡県,72期,2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,千葉県,71期,420.215
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,千葉県,72期,333.4
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,千葉県,73期,249.74
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,大阪府,71期,34.8
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,大阪府,72期,50.4
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,大阪府,73期,14
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,大分県,71期,41.61
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,大分県,72期,49.62
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,大分県,73期,11.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,長崎県,71期,168.66
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,長崎県,72期,78.94
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,長崎県,73期,41.72
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,長野県,71期,107.36
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,長野県,72期,38.62
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,長野県,73期,86.2
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,東京都,72期,0.11
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,東京都,73期,0.06
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,徳島県,71期,9.5
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,徳島県,72期,6.68
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,徳島県,73期,8.88
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,栃木県,71期,1186.14
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,栃木県,72期,501.66
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,栃木県,73期,437.445
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,奈良県,71期,8
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,奈良県,72期,8
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,奈良県,73期,6
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,福岡県,71期,22.55
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,福岡県,72期,27.92
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,福岡県,73期,3.23
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,福島県,71期,156.325
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,福島県,72期,115.66
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,福島県,73期,63.575
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,兵庫県,71期,4
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,兵庫県,72期,4
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,兵庫県,73期,8
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,北海道,71期,28827.27
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,北海道,72期,26601.635
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,北海道,73期,12250.43
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,和歌山県,71期,23
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,和歌山県,72期,28
三井物産ｱｸﾞﾛﾋﾞｼﾞﾈｽ㈱,和歌山県,73期,12
三階屋株式会社,山梨県,71期,2.26
三階屋株式会社,山梨県,72期,1.2
三階屋株式会社,山梨県,73期,1
三菱商事ｱｸﾞﾘｻｰﾋﾞｽKK,熊本県,71期,26
三菱商事ｱｸﾞﾘｻｰﾋﾞｽKK,熊本県,72期,22
三菱商事ｱｸﾞﾘｻｰﾋﾞｽKK,熊本県,73期,20
三菱商事ｱｸﾞﾘｻｰﾋﾞｽKK,鹿児島県,71期,12
三菱商事ｱｸﾞﾘｻｰﾋﾞｽKK,鹿児島県,72期,18.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,愛知県,71期,138.25
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,愛知県,72期,125.715
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,愛知県,73期,46.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,茨城県,71期,134.34
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,茨城県,72期,151.74
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,茨城県,73期,4.34
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,岐阜県,73期,7.02
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,京都府,71期,20
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,京都府,72期,15
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,群馬県,71期,18
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,群馬県,73期,53.08
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,広島県,71期,4.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,広島県,72期,2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,高知県,71期,6.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,高知県,72期,3.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,高知県,73期,3.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,埼玉県,71期,60
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,埼玉県,72期,62.9
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,埼玉県,73期,16.6
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,三重県,71期,20
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,滋賀県,71期,23.04
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,滋賀県,72期,11.8
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,滋賀県,73期,3.8
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,新潟県,71期,24.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,新潟県,72期,18.9
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,新潟県,73期,20.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,千葉県,71期,17.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,千葉県,72期,8
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,千葉県,73期,2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,長野県,71期,0.6
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,長野県,72期,0.6
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,長野県,73期,78
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,島根県,71期,5.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,東京都,71期,136.08
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,東京都,72期,96.106
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,東京都,73期,72.18
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,徳島県,71期,3
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,徳島県,72期,6
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,徳島県,73期,5.7
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,栃木県,71期,151.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,栃木県,72期,94.8
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,栃木県,73期,3.2
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,富山県,71期,6.325
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,富山県,73期,1
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,福島県,71期,35.644
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,福島県,72期,57.92
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,福島県,73期,46.81
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,兵庫県,71期,57.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,兵庫県,72期,16
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,兵庫県,73期,4.4
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,北海道,71期,70
三菱商事ｱｸﾞﾘｻｰﾋﾞｽ㈱,北海道,72期,27
三菱商事ｱｸﾞﾘｻ-ﾋﾞｽ㈱,北海道,71期,2301
三菱商事ｱｸﾞﾘｻ-ﾋﾞｽ㈱,北海道,72期,1827.52
三菱商事ｱｸﾞﾘｻ-ﾋﾞｽ㈱,北海道,73期,548.9
山森産業(株),北海道,73期,254
山米商事株式会社,宮城県,71期,24.72
山米商事株式会社,宮城県,72期,3.76
山米商事株式会社,宮城県,73期,8.78
山米商事株式会社,山形県,71期,1167.68
山米商事株式会社,山形県,72期,837.459
山米商事株式会社,山形県,73期,427.06
山米商事株式会社,秋田県,71期,2.22
山米商事株式会社,秋田県,72期,1.4
山本商事(株),福島県,71期,949.555
山本商事(株),福島県,72期,917.428
山本商事(株),福島県,73期,749.465
師定(株),愛知県,71期,31.57
師定(株),愛知県,72期,22.3
師定(株),愛知県,73期,12.45
寺嶋商店,千葉県,71期,7.3
寺嶋商店,千葉県,72期,4
自然応用 アグリ部,愛知県,71期,10.065
自然応用 アグリ部,愛知県,72期,5.375
自然応用 アグリ部,愛知県,73期,5.025
自然応用 アグリ部,三重県,71期,0.4
住商ｱｸﾞﾘ 釧路工場,北海道,71期,120
住商ｱｸﾞﾘ 釧路工場,北海道,72期,200
住商ｱｸﾞﾘ 十勝工場,北海道,71期,40
住商ｱｸﾞﾘ 十勝工場,北海道,72期,100
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,茨城県,71期,8.7
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,茨城県,72期,5.69
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,茨城県,73期,10.67
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,岩手県,71期,33
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,岩手県,72期,32.225
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,岩手県,73期,0.495
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,群馬県,71期,0.615
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,群馬県,72期,0.2
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,群馬県,73期,0.075
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,埼玉県,71期,0.62
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,埼玉県,72期,4.785
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,山形県,71期,13.6
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,山形県,72期,12
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,山形県,73期,1.7
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,秋田県,71期,170.075
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,秋田県,72期,204.075
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,秋田県,73期,42
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,新潟県,71期,15.18
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,新潟県,72期,0.55
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,神奈川県,71期,7.68
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,神奈川県,72期,1.66
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,青森県,71期,56.4
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,青森県,72期,45.7
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,青森県,73期,5.2
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,千葉県,71期,58.98
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,千葉県,72期,37.995
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,千葉県,73期,20.28
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,栃木県,71期,14
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,栃木県,72期,11.1
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,栃木県,73期,8.27
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,福島県,71期,37.5
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,福島県,72期,56.3
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱,福島県,73期,15
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,京都府,71期,29.89
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,京都府,72期,50.77
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,京都府,73期,18.92
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,広島県,71期,8.14
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,広島県,72期,13.12
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,広島県,73期,5.12
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,高知県,71期,113.912
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,高知県,72期,46.232
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,高知県,73期,41.58
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,滋賀県,71期,10.14
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,滋賀県,72期,6.835
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,滋賀県,73期,4.405
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,奈良県,71期,10.988
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,奈良県,72期,10.38
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,奈良県,73期,10.4
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,兵庫県,71期,27.62
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,兵庫県,72期,15.88
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱京都,兵庫県,73期,3.99
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱九州,大分県,71期,115.2
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱九州,大分県,72期,69.658
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ㈱九州,大分県,73期,12.309
住商ｱｸﾞﾘﾋﾞｼﾞﾈｽ北海道,北海道,72期,4
従業員(米),愛知県,71期,0
出口商店,福岡県,71期,38
出口商店,福岡県,72期,37
出口商店,福岡県,73期,20
諸口（協同）,愛知県,71期,0
諸口（協同）,愛知県,73期,0
諸口（協同）,岐阜県,72期,0.2
諸口（協同）,岐阜県,73期,0.24
諸口（協同）,東京都,71期,26.4
諸口（協同）,東京都,72期,0.024
諸口（協同）,富山県,71期,0.6
諸口（札幌）,北海道,71期,11.571
諸口（札幌）,北海道,72期,8.928
諸口（札幌）,北海道,73期,2.489
諸口（室蘭）,福島県,73期,0.072
諸口（室蘭）,北海道,71期,0
諸口（静岡）,山梨県,71期,0.012
諸口（静岡）,山梨県,72期,0.024
諸口（仙台）,宮城県,72期,0.024
諸口（仙台）,山形県,72期,0.024
諸口（仙台）,福島県,72期,0.04
諸口（千葉）,愛知県,71期,1
諸口（千葉）,茨城県,71期,0.72
諸口（千葉）,茨城県,72期,0.3
諸口（千葉）,茨城県,73期,0.45
諸口（千葉）,群馬県,71期,0.04
諸口（千葉）,新潟県,73期,0.1
諸口（千葉）,千葉県,71期,0.625
諸口（千葉）,千葉県,72期,0.629
諸口（千葉）,千葉県,73期,0.44
諸口（千葉）,長野県,73期,0.02
諸口（千葉）,栃木県,71期,0.468
諸口（千葉）,栃木県,72期,0.148
諸口（千葉）,福島県,72期,2
諸口（大阪）,岡山県,71期,0.02
諸口（大阪）,大阪府,72期,0.024
諸口（中菱）,愛知県,71期,2.36
諸口（中菱）,愛知県,72期,2.52
諸口（中菱）,愛知県,73期,2.26
諸口（福岡）,熊本県,72期,2.512
諸口（福岡）,福岡県,72期,0.012
諸口（福岡）,福岡県,73期,0.012
諸口（北肥）,北海道,71期,41.55
諸口（北肥）,北海道,72期,46.463
諸口（北肥）,北海道,73期,8.73
諸口（名古屋）,愛知県,71期,2.435
諸口（名古屋）,愛知県,72期,0.841
諸口（名古屋）,愛知県,73期,0.209
諸口（名古屋）,群馬県,71期,0.24
諸口（名古屋）,広島県,72期,0.03
諸口（名古屋）,埼玉県,71期,0.02
諸口（名古屋）,山梨県,71期,0.02
諸口（名古屋）,山梨県,72期,0.22
諸口（名古屋）,東京都,71期,0.02
諸口（名古屋）,栃木県,71期,0.1
小浦産業株式会社,京都府,71期,0.3
小浦産業株式会社,大阪府,71期,23.6
小浦産業株式会社,大阪府,72期,38.14
小浦産業株式会社,大阪府,73期,43.2
小浦産業株式会社,兵庫県,71期,15.96
小浦産業株式会社,兵庫県,72期,17.21
小浦産業株式会社,兵庫県,73期,21.9
小浦産業株式会社,和歌山県,71期,0.64
小浦産業株式会社,和歌山県,73期,0.04
小西安農業資材(株),愛知県,71期,5.56
小西安農業資材(株),愛知県,72期,2
小西安農業資材(株),愛知県,73期,2
小西安農業資材(株),愛媛県,71期,0.02
小西安農業資材(株),茨城県,71期,9.08
小西安農業資材(株),茨城県,72期,15.66
小西安農業資材(株),茨城県,73期,10.117
小西安農業資材(株),岡山県,71期,0.26
小西安農業資材(株),岡山県,72期,1.24
小西安農業資材(株),岡山県,73期,0.26
小西安農業資材(株),沖縄県,71期,0.2
小西安農業資材(株),岩手県,71期,458.029
小西安農業資材(株),岩手県,72期,330.865
小西安農業資材(株),岩手県,73期,87.764
小西安農業資材(株),岐阜県,71期,58.2
小西安農業資材(株),岐阜県,72期,6.16
